ticker,company_name,market,sector,industry,market_cap,avg_volume,beta
RELIANCE.NS,RELIANCE INDUSTRIES LTD,NIFTY100,Energy,Oil & Gas Refining & Marketing,15774717575168.0,18566366.967689823,0.566
ONGC.NS,OIL AND NATURAL GAS CORP.,NIFTY100,Energy,Oil & Gas Integrated,2765653016576.0,20000642.45638126,0.396
BPCL.NS,BHARAT PETROLEUM CORP  LT,NIFTY100,Energy,Oil & Gas Refining & Marketing,1169405247488.0,13354289.996768983,0.995
IOC.NS,INDIAN OIL CORP LTD,NIFTY100,Energy,Oil & Gas Refining & Marketing,1808784424960.0,22481443.86187399,0.712
GAIL.NS,GAIL (INDIA) LTD,NIFTY100,Utilities,Utilities - Regulated Gas,1112266375168.0,20006514.515347335,0.757
PETRONET.NS,PETRONET LNG LIMITED,NIFTY100,Energy,Oil & Gas Refining & Marketing,414285332480.0,3635745.373990307,0.384
OIL.NS,OIL INDIA LTD,NIFTY100,Energy,Oil & Gas Integrated,558412857344.0,3914526.5791599355,0.429
HINDPETRO.NS,HINDUSTAN PETROLEUM CORP,NIFTY100,Energy,Oil & Gas Refining & Marketing,750694891520.0,8669250.10016155,0.979
GSPL.NS,GUJARAT STATE PETRO LTD,NIFTY100,Utilities,Utilities - Regulated Gas,161476558848.0,1342191.563812601,0.544
MRPL.NS,MRPL,NIFTY100,Energy,Oil & Gas Refining & Marketing,226400862208.0,5273104.78352181,0.61
IGL.NS,INDRAPRASTHA GAS LTD,NIFTY100,Utilities,Utilities - Regulated Gas,263398785024.0,5788494.088045234,0.586
MGL.NS,MAHANAGAR GAS LTD.,NIFTY100,Utilities,Utilities - Regulated Gas,128929726464.0,663828.3271405493,0.715
CASTROLIND.NS,CASTROL INDIA LIMITED,NIFTY100,Energy,Oil & Gas Refining & Marketing,196574380032.0,2783265.1760904687,0.53
TATASTEEL.NS,TATA STEEL LIMITED,NIFTY100,Basic Materials,Steel,1614848589824.0,88816051.09935379,1.087
JSWSTEEL.NS,JSW STEEL LIMITED,NIFTY100,Basic Materials,Steel,2273151025152.0,5066580.213247173,0.804
HINDALCO.NS,HINDALCO  INDUSTRIES  LTD,NIFTY100,Basic Materials,Aluminum,1247257821184.0,10640312.288368337,1.168
JINDALSTEL.NS,JINDAL STEEL & POWER LTD,NIFTY100,Basic Materials,Steel,800368558080.0,6595312.5726979,0.996
HINDZINC.NS,HINDUSTAN ZINC LIMITED,NIFTY100,Basic Materials,Other Industrial Metals & Mining,1719051485184.0,1554514.8820678515,0.682
VEDL.NS,VEDANTA LIMITED,NIFTY100,Basic Materials,Other Industrial Metals & Mining,1461589114880.0,16451788.288368337,1.101
SAIL.NS,STEEL AUTHORITY OF INDIA,NIFTY100,Basic Materials,Steel,432177348608.0,34807466.76655897,1.504
NMDC.NS,NMDC LTD.,NIFTY100,Basic Materials,Steel,539435728896.0,41013615.59693053,0.732
COALINDIA.NS,COAL INDIA LTD,NIFTY100,Energy,Thermal Coal,2326430482432.0,12104572.63247173,0.015
APLAPOLLO.NS,APL APOLLO TUBES LTD,NIFTY100,Basic Materials,Steel,399635972096.0,648312.8021001616,0.421
GRAPHITE.NS,GRAPHITE INDIA LTD,NIFTY100,Industrials,Electrical Equipment & Parts,88202493952.0,1261913.8772213247,1.347
RAMCOCEM.NS,THE RAMCO CEMENTS LIMITED,NIFTY100,Basic Materials,Building Materials,217660375040.0,624732.6841680129,-0.018
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,NIFTY100,Basic Materials,Building Materials,3291807481856.0,436069.1421647819,0.433
ACC.NS,ACC LIMITED,NIFTY100,Basic Materials,Building Materials,362445111296.0,728173.1542810985,0.213
AMBUJACEM.NS,AMBUJA CEMENTS LTD,NIFTY100,Basic Materials,Building Materials,1293630570496.0,5909307.257673667,-0.02
GRASIM.NS,GRASIM INDUSTRIES LTD,NIFTY100,Basic Materials,Building Materials,1647036071936.0,1204755.9030694668,0.561
BHARATFORG.NS,BHARAT FORGE LTD,NIFTY100,Consumer Cyclical,Auto Parts,454949470208.0,1859088.1882067851,0.682
LT.NS,LARSEN & TOUBRO LTD.,NIFTY100,Industrials,Engineering & Construction,4219770503168.0,2853496.903069467,0.458
ADANIPORTS.NS,ADANI PORT & SEZ LTD,NIFTY100,Industrials,Marine Shipping,2399581503488.0,7362353.55088853,0.402
BHEL.NS,BHEL,NIFTY100,Industrials,Specialty Industrial Machinery,723223838720.0,37871735.40710824,0.805
BEL.NS,BHARAT ELECTRONICS LTD,NIFTY100,Industrials,Aerospace & Defense,1988991123456.0,28630854.957189016,0.376
CONCOR.NS,CONTAINER CORP OF IND LTD,NIFTY100,Industrials,Railroads,395843174400.0,1953130.7019386108,0.282
HAVELLS.NS,HAVELLS INDIA LIMITED,NIFTY100,Industrials,Electrical Equipment & Parts,913044602880.0,1347505.1672051696,0.523
