,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Unknown,Utilities
Basic Materials,0.36996291070996296,0.27279839149805163,0.22462299168418656,0.1890658709584775,0.19520080383711555,0.29277726433861,0.201072333513014,0.32519403066862385,0.2962852678932277,0.17007419336281668,0.3404507165494487,0.2936055370293846
Communication Services,0.27279839149805163,0.2706451036447942,0.2959856305640242,0.2794930402570099,0.2239142427306481,0.29792046284638285,0.26777407732157676,0.3185899779894434,0.3752607920011974,0.2585758149146661,0.3604851800809191,0.2894590551006116
Consumer Cyclical,0.22462299168418656,0.2959856305640242,0.31266326041581705,0.2754682193828252,0.20728621783130347,0.2948751380415239,0.20820681666165186,0.29687722670355243,0.3319728999116766,0.1826679027047134,0.3023547001661338,0.2623330668994826
Consumer Defensive,0.1890658709584775,0.2794930402570099,0.2754682193828252,0.3752469072206008,0.1979215134392179,0.2584595327750232,0.2172400206665982,0.25366792336340566,0.24694460326775453,0.1832891578063686,0.19806318397846503,0.2277561673347532
Energy,0.19520080383711555,0.2239142427306481,0.20728621783130347,0.1979215134392179,0.45260752166648627,0.2656736308892485,0.2108733818578269,0.2678924411696282,0.3038875074059196,0.18422716421755514,0.31781845865706465,0.3825275896835711
Financial Services,0.29277726433861,0.29792046284638285,0.2948751380415239,0.2584595327750232,0.2656736308892485,0.35430656596896315,0.22063776838732774,0.3190619977643802,0.3190151169147416,0.20931033840497165,0.3545093265103915,0.29784608280610536
Healthcare,0.201072333513014,0.26777407732157676,0.20820681666165186,0.2172400206665982,0.2108733818578269,0.22063776838732774,0.30908212600011536,0.23571134203761362,0.2539247242428378,0.24386869016964108,0.2200199677710999,0.23175043405257
Industrials,0.32519403066862385,0.3185899779894434,0.29687722670355243,0.25366792336340566,0.2678924411696282,0.3190619977643802,0.23571134203761362,0.3473684832017086,0.38198090682012575,0.21746251612107395,0.3905165190158328,0.3303909740971718
Real Estate,0.2962852678932277,0.3752607920011974,0.3319728999116766,0.24694460326775453,0.3038875074059196,0.3190151169147416,0.2539247242428378,0.38198090682012575,0.5280297370463058,0.2406872396670606,0.45502551081128334,0.3407850483353897
Technology,0.17007419336281668,0.2585758149146661,0.1826679027047134,0.1832891578063686,0.18422716421755514,0.20931033840497165,0.24386869016964108,0.21746251612107395,0.2406872396670606,0.6098470206637978,0.3244545020803772,0.15796519806871795
Unknown,0.3404507165494487,0.3604851800809191,0.3023547001661338,0.19806318397846503,0.31781845865706465,0.3545093265103915,0.2200199677710999,0.3905165190158328,0.45502551081128334,0.3244545020803772,,0.3494565406523004
Utilities,0.2936055370293846,0.2894590551006116,0.2623330668994826,0.2277561673347532,0.3825275896835711,0.29784608280610536,0.23175043405257,0.3303909740971718,0.3407850483353897,0.15796519806871795,0.3494565406523004,0.4047001576334518
