,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Unknown,Utilities
Basic Materials,0.5176841213801225,0.36138045908022265,0.24006899321853403,0.24415165768925184,0.5021648008035319,0.3939459553464834,0.39112657190438876,0.5074867733411743,0.5239139541469227,0.017660339082984984,-0.0042132534233720285,0.5484440954643176
Communication Services,0.36138045908022265,0.40368104622564766,0.40740425534498553,0.4616379719646114,0.406978345357164,0.41919835760669816,0.45243976149417725,0.47848143028172996,0.4705281782454084,0.25068678338447287,0.35013276111716357,0.4404243039325589
Consumer Cyclical,0.24006899321853403,0.40740425534498553,0.3395093881673137,0.397002273240687,0.2884679758496626,0.32997924493545633,0.36821124803204713,0.358855030662743,0.4015675490020034,0.26564930897024014,0.3247753169183762,0.3095951172462383
Consumer Defensive,0.24415165768925184,0.4616379719646114,0.397002273240687,0.5567039942467894,0.36411077224281635,0.357450949372225,0.34700154740143474,0.36440849482521614,0.3397449057314776,0.15774660320063258,0.4038987366236712,0.39144085299981635
Energy,0.5021648008035319,0.406978345357164,0.2884679758496626,0.36411077224281635,0.5688680791594544,0.4210546090828991,0.485522368137192,0.5315582239884411,0.5247230860787923,-0.056658132372328265,0.028925957066687942,0.6291177796422359
Financial Services,0.3939459553464834,0.41919835760669816,0.32997924493545633,0.357450949372225,0.4210546090828991,0.3867004060790218,0.3984697395606887,0.4514604706587324,0.4534411228825135,0.12199322146761483,0.173176925891524,0.45826780796519756
Healthcare,0.39112657190438876,0.45243976149417725,0.36821124803204713,0.34700154740143474,0.485522368137192,0.3984697395606887,0.5750118317150265,0.4955622445641449,0.5321527831601094,0.17768557803065368,0.09884103153636058,0.5062958919648435
Industrials,0.5074867733411743,0.47848143028172996,0.358855030662743,0.36440849482521614,0.5315582239884411,0.4514604706587324,0.4955622445641449,0.5523119184515036,0.6014959180563473,0.12245477336040267,0.13755008481773193,0.5719402556313098
Real Estate,0.5239139541469227,0.4705281782454084,0.4015675490020034,0.3397449057314776,0.5247230860787923,0.4534411228825135,0.5321527831601094,0.6014959180563473,0.6892151104563256,0.16320413156576535,0.04683019186917454,0.5801667255548228
Technology,0.017660339082984984,0.25068678338447287,0.26564930897024014,0.15774660320063258,-0.056658132372328265,0.12199322146761483,0.17768557803065368,0.12245477336040267,0.16320413156576535,0.555771588818582,0.47630278408288546,-0.09034235165230896
Unknown,-0.0042132534233720285,0.35013276111716357,0.3247753169183762,0.4038987366236712,0.028925957066687942,0.173176925891524,0.09884103153636058,0.13755008481773193,0.04683019186917454,0.47630278408288546,,-0.03150354462050553
Utilities,0.5484440954643176,0.4404243039325589,0.3095951172462383,0.39144085299981635,0.6291177796422359,0.45826780796519756,0.5062958919648435,0.5719402556313098,0.5801667255548228,-0.09034235165230896,-0.03150354462050553,0.6774835142707222
