,RELIANCE.NS,ONGC.NS,BPCL.NS,IOC.NS,GAIL.NS,PETRONET.NS,OIL.NS,HINDPETRO.NS,GSPL.NS,MRPL.NS,IGL.NS,MGL.NS,CASTROLIND.NS,TATASTEEL.NS,JSWSTEEL.NS,HINDALCO.NS,JINDALSTEL.NS,HINDZINC.NS,VEDL.NS,SAIL.NS,NMDC.NS,COALINDIA.NS,APLAPOLLO.NS,GRAPHITE.NS,RAMCOCEM.NS,ULTRACEMCO.NS,ACC.NS,AMBUJACEM.NS,GRASIM.NS,BHARATFORG.NS,LT.NS,ADANIPORTS.NS,BHEL.NS,BEL.NS,CONCOR.NS,HAVELLS.NS,CUMMINSIND.NS,ASTRAL.NS,TITAGARH.NS,ADANIGREEN.NS,ASHOKLEY.NS,EICHERMOT.NS,ESCORTS.NS,MARUTI.NS,TITAN.NS,BAJAJ-AUTO.NS,TVSMOTOR.NS,M&M.NS,JUBLFOOD.NS,BATAINDIA.NS,CROMPTON.NS,VOLTAS.NS,HINDUNILVR.NS,ITC.NS,BRITANNIA.NS,NESTLEIND.NS,DABUR.NS,MARICO.NS,GODREJCP.NS,COLPAL.NS,EMAMILTD.NS,UBL.NS,TATACONSUM.NS,VBL.NS,SUNPHARMA.NS,DRREDDY.NS,CIPLA.NS,DIVISLAB.NS,TORNTPHARM.NS,LUPIN.NS,AUROPHARMA.NS,GLENMARK.NS,BIOCON.NS,LAURUSLABS.NS,IPCALAB.NS,FORTIS.NS,APOLLOHOSP.NS,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,KOTAKBANK.NS,AXISBANK.NS,INDUSINDBK.NS,BAJFINANCE.NS,BAJAJFINSV.NS,HDFCLIFE.NS,SBILIFE.NS,ICICIPRULI.NS,CHOLAFIN.NS,MUTHOOTFIN.NS,MANAPPURAM.NS,LICHSGFIN.NS,PEL.NS,M&MFIN.NS,IDFCFIRSTB.NS,BANDHANBNK.NS,FEDERALBNK.NS,RECLTD.NS,PFC.NS,PNB.NS,CANBK.NS,TCS.NS,INFY.NS,HCLTECH.NS,WIPRO.NS,TECHM.NS,LTIM.NS,MPHASIS.NS,PERSISTENT.NS,COFORGE.NS,ZENSARTECH.NS,NIACL.NS,CYIENT.NS,BHARTIARTL.NS,IDEA.NS,TATACOMM.NS,NAUKRI.NS,IRCTC.NS,SUNTV.NS,NTPC.NS,POWERGRID.NS,ADANIPOWER.NS,TATAPOWER.NS,TORNTPOWER.NS,NHPC.NS,SJVN.NS,JSWENERGY.NS,CESC.NS,TATACHEM.NS,DLF.NS,GODREJPROP.NS,PRESTIGE.NS,OBEROIRLTY.NS,SOBHA.NS,IBREALEST.NS,SUNTECK.NS,PHOENIXLTD.NS
RELIANCE.NS,1.0,0.5956056784024153,0.5289280836528899,0.6424939963641239,0.5017139829529547,0.21813307907321333,0.4788688908411437,0.4610705158451275,0.3548844781313549,0.5406330652522551,0.27718516617718214,0.4778584580172852,0.5038183569551219,0.17004540397308404,0.29859739694474996,0.2838900711073464,0.31265600299905427,0.19392638554176217,0.3146057278346869,0.3372314597817342,0.14806649505482375,0.4757105150447813,0.03001525064534879,0.34541145958254493,-0.05041299252860932,0.27233750804523066,0.4081348414034601,0.35712431184858406,0.36775932577055775,0.30142951011935265,0.26488115843252136,0.516742305916633,0.4627366269941747,0.45696702003536954,0.48984970388020654,0.2103882308380044,0.34374559039406016,0.2959014343448194,0.31554889055939717,0.35346435912756125,0.18464048141012604,0.20563430640053118,0.10540772544482098,0.14929060221099252,0.416496505986739,0.45162272611575704,0.21199759088542375,0.2644046052919487,0.14304188326753212,0.3431566461269582,0.1250448822350321,0.3328187653270594,0.15272659778175113,0.20434739029001528,0.27218640395533905,0.3729822234592132,0.3195334580212139,0.17635532055257502,0.3533174799647491,0.38039184748779353,0.04570894226597603,0.2982756699662007,0.5166064987453276,0.3653347785603023,0.3842511197021575,0.2665836622121415,0.3606192066042257,0.10306304289281625,0.39274813584214546,0.2795296062519241,0.13652394397082213,0.24953843712618914,0.34830013225113365,0.22168548471612545,-0.007608595210043389,0.2523946533804605,0.22343544135413085,0.27473411191841457,0.39704395218230937,0.44066295036552183,0.4285903731932081,0.34111408653434205,0.35469861827503757,0.2712676777474379,0.3553892406809069,0.35252629732386076,0.4370203095949015,0.27178423074010344,0.29016539288304016,0.31026132854191424,0.35781614162004766,0.4651824891267942,0.32141857004340824,0.4682877764929029,0.2780805697447532,0.25361286908759967,0.13711666215518467,0.3622091438181948,0.4933590003006153,0.482331637161532,0.5065665905380697,0.42724592601201544,0.25974152450823323,0.3412525024697755,0.39737650013351244,0.21071837287570183,0.2340979709371957,0.34043239783641055,0.29229980372308006,0.22783213623712978,0.20010124986712677,0.4532111552245499,0.2720940168928757,0.42233448829751663,0.3085530282217182,0.316181419305418,0.38217545380822815,0.5400811901758159,0.25053909070979685,0.48191485320919825,0.4723408271941106,0.4033383347344256,0.4731828960656835,0.35445224844523054,0.551518808991159,0.4746677741566834,0.3745719085236321,0.413031790012304,0.2248973458653675,0.5028334667418076,0.533070150985434,0.3640637226338299,0.2185761910536643,0.3295511860344108,0.40447850075700614,0.3003640967971651,0.4702878385977609
ONGC.NS,0.5956056784024153,1.0,0.5075295872445239,0.6346833459230916,0.6014166879323329,0.40219884462711314,0.6860077156075464,0.5094530026129432,0.33648529849933434,0.4934622815821243,0.16557593491877517,0.38438980494026187,0.36907742402270216,0.011691847145335775,0.07653868357164918,0.20690200910725765,0.19368974224715377,0.14853371158075163,0.2282866514195501,0.36582072511398167,0.29336563000654764,0.5561691321275767,-0.1011490752282187,0.21751911364983248,-0.21149882194471606,0.06075158399509585,0.17330342768169787,0.11638593528512343,0.3054788807866994,0.14701801260719943,0.16176115030076219,0.3003941175655959,0.45196255023460635,0.19160088861257768,0.324403942521898,-0.01908285448810625,0.17841982699613773,0.09565652264004842,0.14312598096547355,0.25451586230841583,0.07426892623050659,0.05059630420430564,0.060542320125259015,0.23374023977673308,0.22707140978128995,0.24725629797034665,0.030000555980716274,0.012891546526357777,-0.05511405383957048,0.10811422565642637,4.599537827421699e-05,0.3082822575803472,-0.09762642306874758,0.0553672919070695,0.007664362817991788,-0.014485675142238617,0.0678090797537335,0.12766645152976117,0.17446944210005713,0.2540636474156338,-0.0908161050959154,0.0900241794207589,0.3119281729257907,0.19957252573452036,0.41515034875350176,0.2753240891632786,0.18122500831720048,-0.0023046883800016266,0.26791264566428497,0.37158690548456047,0.15296175712934956,0.23164611379992148,0.24592922939168727,0.028611435799051396,0.10184743728101193,0.0999340664665961,0.18674132048272668,-0.04917992163211952,0.15690397804437245,0.36353115162869615,0.1350684177915492,0.08661158942369192,0.11593269573304604,-0.0601661605712731,0.08515987087306591,0.12430667876122399,0.28824630768550813,0.1147594884096399,0.06354314906999319,0.11993854848968533,0.3173387348630728,0.3273478507038178,0.17816822305408617,0.1630404636851311,0.10551543067721049,0.14960973120618315,0.26091784188189904,0.34345595699004083,0.37876061357135465,0.5136931665446496,0.4724781422297543,0.4249499780241514,0.26513738366444367,0.30034774117986707,0.27110475215755475,0.17818399956562495,0.08739510376834746,0.31607558923022216,0.29945671202613655,0.15375512616684592,0.12281610795107056,0.48332939149238807,0.12720483906820695,0.2521839675821982,0.24826715249410497,0.1245538340933031,0.19058693245277744,0.4299348553836915,0.16220804561969268,0.48211153678158186,0.4969215461385414,0.16236462140613245,0.40733801796566566,0.2790474128520231,0.4526484341055699,0.488824047434999,0.29917886439318747,0.36751765627761795,0.08600253337854359,0.4094608878978835,0.3957997957282129,0.1499592015344114,0.08432389030863657,0.24324804730591507,0.3530619813301922,0.282838967953598,0.22707195692026264
BPCL.NS,0.5289280836528899,0.5075295872445239,1.0,0.8226221202848997,0.5597310989953228,0.2797287204316517,0.30746150448842335,0.8530130309476119,0.4642897490608058,0.4576322617204716,0.29948259371640146,0.5608038614093587,0.3109593274220303,0.34752333902791743,0.44369453293417926,0.3131764390698024,0.4103923973929143,0.3148651842651768,0.43378117723982695,0.5741102739749593,0.3752317654143183,0.484477135703669,0.014045697450402244,0.415194544561084,0.13098400099342053,0.42823440987188915,0.3898879274497483,0.39128262390059665,0.4357803734721569,0.3076068919514415,0.2932602448458473,0.5642789883887345,0.5445977537265646,0.34117643271645454,0.5769474298147372,0.2738568778854345,0.5286903899141204,0.3603659933676809,0.27360691384647096,0.45193676004579814,0.20910087213368483,0.23841386654717728,-0.05255987008481614,0.15691529411409844,0.2864877905939803,0.4650874491955722,0.22184748754999,0.2306493273379771,0.18621677212870946,0.22842886218155942,0.2115213233844633,0.2650116123325158,0.19357367010000154,0.0994528896959079,0.2894292036515984,0.28786178003802826,0.32378751039462245,0.21319527058535287,0.4590790853878621,0.37077425170331535,0.08706347439518614,0.2227891573745981,0.433310054362003,0.3964413535137693,0.49906451188196915,0.23917901546130776,0.21530022610489716,0.2522085047747612,0.41139195403123713,0.4534252434498043,0.20395991071710895,0.2583609699382872,0.1686493646415925,0.11183159283362547,0.23121702508936962,0.45538349007652473,0.36941558319698176,0.2765145030537252,0.4149038489775057,0.5712569750096858,0.1969271157683633,0.4011228819661796,0.20897463621804152,0.1016952026866261,0.32107938281445203,0.35104441592291835,0.48363452704449694,0.34545216123859274,0.18454499608383906,0.325768174605534,0.33904314261699076,0.3604822824035183,0.2698051922634791,0.31083193878579085,0.24425135566874948,0.1786974233315608,0.284061254275399,0.499451939661308,0.5989862784322105,0.5884317571735941,0.5559725324643945,0.381443730831048,0.23070633636310417,0.3082755143292924,0.30706392899607177,0.18123835156181745,0.10606825527163082,0.24977300265796773,0.2903164047243815,0.2575861129773831,0.045862563017981015,0.6555357291684266,0.3426689925490409,0.33101946906612256,0.060878808333737156,0.34627133229995155,0.43642024207685604,0.32651289277510875,0.2169808486753016,0.4656237735261268,0.5651621168915345,0.3540030017362468,0.43375383594797623,0.47155575022030616,0.49108845913333593,0.42882535621855383,0.29717704111357945,0.4279304233931558,0.14269915550100135,0.5770154902949816,0.416850408342274,0.36148855213362296,0.32809443340868366,0.3522035442009728,0.35600124910594905,0.23311920889835774,0.3105929733388256
IOC.NS,0.6424939963641239,0.6346833459230916,0.8226221202848997,1.0,0.5790477155562991,0.2880848896724611,0.4024517674118947,0.8390782085450657,0.44101206870863363,0.5922036390706772,0.15990695639644725,0.4529631687933588,0.3891379766857393,0.23341752220276676,0.29348250782944074,0.2778934740952816,0.2889385379134264,0.22142753021776823,0.3832583876387796,0.5038922629817957,0.3157419183890216,0.4947114331841472,-0.10507789075526046,0.4121103189626937,0.04406646419212553,0.35359443991733525,0.3785996309405394,0.3306665190348704,0.35523367861699273,0.25417158645786697,0.23686174887067124,0.45283926274662906,0.5691046239012446,0.330340450473715,0.5084970351053011,0.13331657145241732,0.3488611967828166,0.31588841257305433,0.25291705348454624,0.4430255896995634,0.2097326520406579,0.19022645388377682,-0.011115457951801678,0.19592912479301947,0.3297771273752294,0.4675293608304877,0.2636538198925014,0.22044528014110543,0.1039976166651681,0.31784581256485533,0.11806569010224176,0.2937602680510092,0.103696240035168,0.10188934314502777,0.22911221547873242,0.20104932344877396,0.23344477357114804,0.2430602566320569,0.3878229924306348,0.3686006631662948,0.04401003674752208,0.28583712129294536,0.41709050203934156,0.39496050439056185,0.45264960026748846,0.17671336920017683,0.22777453968030625,0.16689101666036688,0.3706027232364404,0.410442809244493,0.1249010590856317,0.23011487282392112,0.2529566263749679,0.0805087192841091,0.11032502146933947,0.362289369177354,0.3294477123306115,0.1708176572652246,0.3091282279679842,0.5154703152119674,0.28378806258098876,0.3209688021455726,0.2652360569168926,0.05474423079584804,0.22409506096900397,0.2917038320814043,0.3640938055805569,0.24022154438606783,0.20941387293881,0.3538490631798159,0.36358204045279957,0.46334824085098725,0.23704190475258047,0.3517543694142008,0.2404770065526237,0.29511738415839195,0.21898097850731255,0.45763557415215583,0.5905071869125834,0.5816421782758214,0.6000372228786764,0.34860881714591213,0.19010422706828695,0.3213608272729221,0.3007893058743998,0.13335859355981095,0.10954727826380606,0.30817241335305595,0.31345684860724143,0.30154284156803646,0.08152834214349332,0.645195182943624,0.3400242031731595,0.3477081057150879,0.18853512086341806,0.20242678383714574,0.36199916485649053,0.44045120755415385,0.24946758525034166,0.5316864228404079,0.5351668209580818,0.37410496583282665,0.5615717770216024,0.41373929802293347,0.5701424527480694,0.48936139282122204,0.30368833205104373,0.49477464210492567,0.08691885867056968,0.5917471504918239,0.49982689645352263,0.3486587314889906,0.32260692546562947,0.38391501894828534,0.3642581256635356,0.26592781064382276,0.3985673458144969
GAIL.NS,0.5017139829529547,0.6014166879323329,0.5597310989953228,0.5790477155562991,1.0,0.5572600490775688,0.48711825395852887,0.4908286564079812,0.3377250477433715,0.457532478323531,0.2813195163676201,0.5475454574511686,0.4204041014330254,0.38934671314445246,0.37934414923557586,0.4352406625636923,0.4795306421675964,0.33591850794313455,0.3751231897542791,0.5848247772472516,0.4955317413695185,0.5507048432377495,0.04826376417014834,0.4692835729434908,-0.015299079468789343,0.334191721986479,0.37761897482611084,0.3702321084988455,0.4429814058283089,0.38924980993589914,0.35289410761019974,0.584876009424139,0.6052527514013648,0.48064848013588585,0.5472574894275402,0.2726983239064285,0.3811372371399763,0.24773667908453725,0.31084724025149996,0.44980910086452935,0.23573241897969952,0.14648707431714808,0.03187209809199552,0.140335726688207,0.23380057133353993,0.3972613567614752,0.1582636343035858,0.19960300394731348,0.1320720118281342,0.22453875714537927,0.2839092181833111,0.4951067957777013,0.0547761079102759,0.17635992288395144,0.11263512110557303,0.12296352023399972,0.13061194565527506,0.22142241167486523,0.2553240948098546,0.41705760970108546,0.12988747656902974,0.337270282216357,0.34285122306184257,0.36359506519246143,0.3879684912304003,0.2699396704170916,0.15518350040904577,0.21946450119058727,0.2678324637366918,0.2651693453915578,0.26380033699619576,0.33197160209241244,0.25238480701107296,0.21253979171932344,0.1878486697592609,0.28391783989326613,0.1772090181357488,0.24203371599179588,0.3325632420126783,0.5047290917672311,0.24689767353613115,0.3764976602714954,0.23033131161836598,0.09806764103148592,0.11995516155743481,0.10646416220927984,0.20591289117248496,0.1735509186778769,0.2368757489311144,0.21969231656454608,0.32691120657379524,0.48854035007501123,0.19561267998596701,0.260133721942676,0.27046834655673513,0.29518038961801685,0.3546067158710495,0.4284671237071495,0.498076709438888,0.512256734850724,0.5261968920704043,0.2799098284760025,0.12865113233382533,0.20531282957543684,0.25987795761297405,0.13963473340112878,0.05777002606324277,0.21910901452577686,0.1441401264312572,0.07819694989906063,0.13276251045926596,0.4649653535215044,0.29587623291007403,0.2905843340302957,0.1552248923649579,0.25838939550562007,0.3248863042317146,0.4219095827161557,0.3125945587923326,0.6365888245669953,0.5589419755298103,0.41272821602359433,0.540746970396667,0.4210527120051409,0.5105653625263405,0.4798556826071988,0.3740082413110402,0.5346698672376016,0.3194446369583504,0.505852240105257,0.4812210180034263,0.34028616427946423,0.25764358564831735,0.3490378279829142,0.3521659260923801,0.34613009544372897,0.31133708208733085
PETRONET.NS,0.21813307907321333,0.40219884462711314,0.2797287204316517,0.2880848896724611,0.5572600490775688,1.0,0.3162782076343151,0.277127706264865,0.3530960307441473,0.31522905096643783,0.3426318005650668,0.3962876914847899,0.3257815355440763,0.10850080924578119,0.028659267385390253,0.08070864198140376,0.1384497076360369,0.25436679914670735,0.11590334320453653,0.32010329099322715,0.14458690730076396,0.2775548944448454,-0.12142665598339962,0.177374944208037,-0.10467522772236192,0.16737476087671233,0.2572190473995883,0.20896031996633005,0.1851717220040843,0.21278698183143696,0.19746828014960702,0.25878295214565084,0.411717243352997,0.2649971063602896,0.25278265749900947,0.255647319790112,0.25905029729589646,-0.04545047343572885,0.1498455827883894,0.19175240447218544,0.1567585963651949,0.06312482482106835,0.08913834997860538,0.1067107491035917,-0.023571691933901146,0.16349048526117424,0.052907558256566255,0.2131562660634241,0.08383970505522223,-0.016637068835295924,0.2065411909586055,0.25870093988145465,0.10378672656935521,0.06901200066140892,0.18433862457422429,-0.041219572108943364,0.13997690121883927,0.15409787334619798,0.2390363940347169,0.13517482664888045,0.07321381637056508,0.20350870074295963,0.10517115408193993,0.2591618100947349,0.20449997188461846,0.25798449496106113,-0.10620505366407922,0.029794638290211128,0.130634592310707,0.12314147800566165,-0.017177356690798975,0.1541830267241461,0.26616516524678546,-0.00871923750177357,0.10449341955706355,0.18746919660312075,0.17944815179872797,0.07327213653108659,0.20104947159521303,0.31921882780519006,0.09433025812564971,0.07851377070837916,-0.07885648440809942,-0.17364497333230774,-0.17075319298553662,0.13253598388714297,0.11778473529045827,0.17306741763372524,-0.0008909474020963751,-0.032313876520474,0.1467703006956839,0.2867913992742993,0.11229365139656819,0.20394199797153195,0.12338864944506307,0.08403590382161366,0.2414808547576533,0.24682606628338777,0.24083637161112428,0.3462108643511397,0.3247996703868547,0.2711906006975779,0.1248857746490492,0.18657180149354435,0.17822628957906247,0.18964676702658886,-0.044562621304153095,0.08689747740323377,0.08015025540647765,0.06573201229423044,0.022716564956225774,0.28587845093091896,0.081559969302431,0.1055238626927235,0.049602854797514626,0.08251768013055753,0.16335994137871132,0.22918134505464993,-0.05292013001372611,0.2995529113036033,0.35241822409884266,0.1466107482772515,0.2863795135759535,0.18663108248351204,0.4554339438904511,0.31627518938332927,0.20195324959745797,0.3315390505858656,0.10911358970220195,0.1786389055555368,0.2386199467791706,0.05579710313325456,-0.040130964435676625,0.18142073662582858,0.21280536810434078,0.22094863548197535,0.09035758286886142
OIL.NS,0.4788688908411437,0.6860077156075464,0.30746150448842335,0.4024517674118947,0.48711825395852887,0.3162782076343151,1.0,0.2862580170454614,0.257896379405798,0.41858121875838994,0.12810462392097088,0.29493515906111256,0.3580703380383209,-0.03832913905384148,-0.08208482567350257,0.06980795200171809,0.031010051266619383,0.022181491857920947,0.0833610903929921,0.10629198369674327,0.06495766120977056,0.4532757140483203,-0.11921830871866604,0.04677982965040859,-0.2510350286875212,-0.045856916019437095,0.08767308754861958,0.12495438808420468,0.1511130787754952,0.1002267806712025,0.08301809713752888,0.14656765374166564,0.24143698254114412,0.23875695204404507,0.2022903790248339,0.05002829925670376,0.16118630948481497,0.0656492277216395,0.04786494723233568,0.08912973236404453,0.0673480345234481,0.043113366795910754,-0.02545967732542321,0.14865838654498476,0.08776132206645121,0.21149593742004513,0.027749105609727275,0.03238823082865182,0.012192452577364624,0.0260634895736887,0.05456493824695019,0.3349563869339156,0.03600170600104099,0.056892853923273645,-0.0008565940674422779,-0.01737707579638524,0.07375114076479061,0.10614475220169754,0.24864497385283849,0.23084907696193002,-0.09414132076283245,0.01471442721287388,0.2054583166020166,0.1785811011423065,0.27601542084152003,0.24676829383837467,0.17861513142825827,-0.07584190911992952,0.255011841559733,0.2059843527573423,0.010051542375212877,0.15562524539477454,0.08818730033760916,0.038281212613114214,0.03848202383188236,-0.026197360384360654,0.07025161975579315,-0.013567391001219625,0.06009862276202012,0.26372606601055654,0.05094614488369141,0.05062440870116243,0.06905107481505536,-0.07715421925571099,0.026490742716619827,0.13322310770845544,0.2400709350934803,0.16904456998260037,-0.03332176527187994,-0.005545254347140437,0.1886802181800054,0.20141375478150048,0.11427914589636212,0.09436617137905878,-0.059913408806899784,0.14255442584995662,0.17073480320891254,0.18440044006619413,0.20017740729105626,0.3091445621193129,0.278434713836373,0.39416405435016594,0.1734974974565471,0.27658423721325603,0.18696938646026304,0.04247961109793151,0.0443287893971518,0.289119565850433,0.19526578617657733,0.061289015830290505,0.18338732313314474,0.2889860460764651,0.1269256518018055,0.11639036655797819,0.16522295723381814,0.09521711327925679,0.15371151771919686,0.3928992171921663,0.08324730941450875,0.40809097020553176,0.3392762880805367,0.026075420598377128,0.21069631463798022,0.1724870556687094,0.28576489662024257,0.2177506781246079,0.28634762783484763,0.27043738765957276,0.10076551927273333,0.24727871293242024,0.22115151920501738,0.09080805198186102,-0.028469889849715914,0.13067066629547044,0.23323561420131347,0.2043207182291375,0.09345204602775693
HINDPETRO.NS,0.4610705158451275,0.5094530026129432,0.8530130309476119,0.8390782085450657,0.4908286564079812,0.277127706264865,0.2862580170454614,1.0,0.448958137355404,0.43530259335634397,0.22416252979429052,0.420037967599699,0.31366571608770266,0.2087821452305468,0.32630026085794234,0.25119722245490506,0.31571373834913824,0.2793315231059654,0.3799569370449484,0.48468905841609283,0.29606426585356305,0.4268000563115644,-0.0421489248312438,0.3555436134212278,0.22250774020761319,0.3828962918823758,0.32846256540057095,0.3122914942381745,0.4155777823955553,0.31202307101622145,0.34048881002022546,0.4259965556180752,0.523853447644852,0.365796596641172,0.5086248378386373,0.20962997724815874,0.3298448828353049,0.3623134998346688,0.328929762572428,0.4148407985285365,0.2820670038307278,0.21279855727059646,-0.0033566909548061606,0.13727052104778506,0.39976540880697325,0.4238772153077357,0.2794147560865315,0.24212647994669922,0.22399030653488897,0.33071063489296476,0.317616092202771,0.3023068972183759,0.1879793084956464,0.13339666393821875,0.24123643602229486,0.2149634055851151,0.3343174754021513,0.255952273649653,0.4229881055999085,0.3447510874045961,0.10712906593787921,0.30823638242729706,0.38198480129651463,0.394569639840477,0.3846880751527149,0.2307867093944534,0.14162698106653476,0.3011585216718088,0.42570191329054474,0.48516147858049674,0.2625584750134289,0.3113109348335944,0.2605576876695852,0.09835742477650533,0.15857789735686637,0.47584053127748166,0.3565593730705181,0.2404016982168,0.34871717581191897,0.5294086906358896,0.19563062845029272,0.328312040543805,0.2101326820429362,0.08740471854553344,0.2815051497502719,0.2690678360436066,0.3737424397057227,0.3039466188022225,0.1595658987435036,0.4012009726866331,0.39415562215386873,0.3624255818811393,0.3070710219902454,0.2983723481261699,0.24904767355695473,0.21653890039830798,0.3115098600563337,0.4910404184667124,0.6087737252757653,0.5729165590974326,0.5336609368174076,0.28373625790489393,0.2137262433533681,0.24737426898377377,0.2513617841614693,0.18097064808587968,0.1699518065746266,0.2857743548566405,0.27745117158452226,0.3175427243053965,0.03716908921571268,0.6294770606780766,0.4037165278610309,0.32600372368055375,0.15398422441169632,0.2849267197517761,0.43657594842700137,0.3924455907075952,0.2874619029104537,0.45147848319048717,0.4976920911843912,0.29814198549117255,0.4926118097129405,0.4402542832428573,0.49358745839655893,0.450549752383758,0.3284862501832678,0.5418430488300516,0.13890137959243115,0.6091776881752793,0.5291838978642134,0.44757742814395596,0.4832355457115349,0.4254124858348373,0.373917657081657,0.33583725164169387,0.33532820997972196
GSPL.NS,0.3548844781313549,0.33648529849933434,0.4642897490608058,0.44101206870863363,0.3377250477433715,0.3530960307441473,0.257896379405798,0.448958137355404,1.0,0.22561279821834998,0.3927364924368073,0.528713188861428,0.32975044898798034,0.06317336726480696,0.19920220853409493,0.13152672090884443,0.18646637696790722,0.14221080637814318,0.23529690419931595,0.3057868575715213,0.13158465299494565,0.13533414407037736,0.026325796838502544,0.32912149734953916,0.2817816500737235,0.40466267447693016,0.4322600926426862,0.3753084199726101,0.26075809034822334,0.20567043780925434,0.36738388549119677,0.3479030686501663,0.25125287034206556,0.19149677300379017,0.24275447684318532,0.17818712243490706,0.2836719248963852,0.19110371760535477,0.20768315155307454,0.1969715970613219,-0.02577988598601911,0.04080673192610759,-0.011566173416837288,0.09469330219762251,0.356656483366422,0.36018034524450515,0.10617287581196609,-0.004343416797483598,0.22059566032901698,0.1305665784783544,0.15113436899426627,0.24818670481484964,0.20419871169133463,0.07647438812505594,0.30154581762610844,0.19723684907423014,0.2914972278713926,0.18271009525288007,0.41212964500642457,0.22725422343480062,0.06965676442719727,0.2242077240281721,0.4092465504062936,0.3353091985214141,0.35958370508731563,0.10507887390510208,0.09287004150809937,0.15986170921247242,0.25651471928957215,0.35231408646293827,0.04682619835810096,0.3565142314529583,0.2281897774883223,0.2167183580282818,0.05338367656910374,0.39005919195780164,0.4934842419644332,0.16338478889342378,0.3182016670351283,0.2861280485999919,0.2709933386265277,0.1724283009894149,0.26926078319618724,0.24115520365243023,0.3781916165727303,0.3203931402964003,0.4180357442793295,0.32443118277948435,0.15483055481063818,0.24523711001573306,0.26018276824713216,0.33346305781330343,0.3673525200259975,0.3663140625580998,0.27715440447561135,0.2384633334985185,0.030729642888937297,0.28429832577728686,0.36392722700906555,0.45511779770167876,0.37663789405846787,0.3891241387184315,0.34980347984725546,0.41380706023735553,0.3668015065767418,0.32209070966677494,0.24340227227636932,0.3411685989649948,0.43966468739363324,0.38916425069727273,0.18203906636215886,0.5069145196305351,0.377714514894175,0.3188302253648929,0.025365057792922703,0.420835089685423,0.2871160452467768,0.2766714707548207,0.02538778280902694,0.1994639107226264,0.24409893906309577,0.11156892034590135,0.3015305575481241,0.38449774691229044,0.28661797268017564,0.3061724996137591,0.2877211965158448,0.3693371805745599,0.20187936470427964,0.4126665767797365,0.2192574605738525,0.1384227000605525,0.10655166674310587,0.244424512032801,0.43026288914149735,0.1068991707688384,0.14123049881933394
MRPL.NS,0.5406330652522551,0.4934622815821243,0.4576322617204716,0.5922036390706772,0.457532478323531,0.31522905096643783,0.41858121875838994,0.43530259335634397,0.22561279821834998,1.0,0.05225165880296178,0.3097498605131458,0.32762033609619523,0.07749429133503012,-0.010891601518533392,-0.11191234163030758,0.08812636701491679,-0.0023463395303396947,0.03596045656031822,0.20808933405057975,0.2614753839470369,0.4283021273308099,0.003885966472347576,0.3945545992726265,-0.05769377560967299,0.03620537126909335,0.32646150194191625,0.3282466101432369,0.1611251423421865,0.1688950225111238,0.06116638873559259,0.3449757367156582,0.46773498755140763,0.2874036886711185,0.367140982829418,0.009279836024151463,0.12832156917250198,0.17477707002381979,0.16306232657859518,0.3303603596014287,0.21732861233361372,0.15232047124937673,-0.06594159658767991,0.20863928486970618,0.07355838608049123,0.3710445129212007,0.2210175405393599,0.26918561851683265,-0.028875892476657603,0.07594861969859457,-0.0217083246454129,0.14849971427669387,-0.028910223018810854,-0.02677360083742629,-0.023434024842538134,0.03595811090960357,-0.051401320242683665,0.06418322368029336,0.2437235009543958,0.2734287846695099,-0.0400749796312522,0.19266951311088873,0.2990533196542074,0.34600078812951196,0.26812731873470413,0.2515672172925186,0.1504304027747131,-0.09585910895535596,0.25900167009844166,0.3185583914265573,0.04214615252384098,0.055225982025567874,0.2376711844296297,0.16088253868278848,0.042147508781245416,0.10598386295114981,0.09387891793178631,-0.11861305276274299,0.16957767586417505,0.2977303951327902,0.05707764413148133,0.12400458606988367,0.08241530402811736,-0.1228330235371704,-0.07759766654249615,0.22593589669109218,0.23073941069803908,0.22880258277116564,0.016585497726478226,0.004998204345592764,0.24079851255658383,0.4545677837985789,0.15362210322302375,0.22249494387238983,0.07681833889116024,0.2152143627773242,0.1218958085738756,0.2989102428447879,0.3030398140916567,0.41555599511225977,0.41505219292178275,0.13098817215837338,-0.06504462515043827,0.1095254894607267,0.06964939528070731,-0.1476063213966185,-0.211280162880167,0.007152292411058012,0.07363483009454912,0.053813377465160406,-0.08059548304378596,0.3692014478085135,0.12765435073151654,0.10550095001858165,0.2427906565907337,0.09176765384147563,0.049392011903753134,0.25453680165116765,0.1970368688742026,0.4535335114789498,0.4911131232967915,0.4472731181371824,0.4023404516862571,0.2571215461183512,0.4972441911266295,0.43339456978532054,0.2620295548185354,0.3925294449073454,0.0662166920724717,0.382439535675663,0.3308902889728706,0.15968826421200547,0.033046716530106685,0.1991091646642399,0.21394066104479176,0.2506277341387694,0.3611581246170915
