,Global_PC1,Global_PC2,Global_PC3,Global_PC4,Global_PC5,Global_PC6,Global_PC7,Global_PC8,Global_PC9,Global_PC10,Global_PC11,Global_PC12,Global_PC13,Global_PC14,Global_PC15,Global_PC16,Global_PC17,Global_PC18,Global_PC19,Global_PC20,Global_PC21,Global_PC22,Global_PC23,Global_PC24,Global_PC25,Global_PC26,Global_PC27,Global_PC28,Global_PC29,Global_PC30,Global_PC31,Global_PC32,Global_PC33,Global_PC34,Global_PC35,Global_PC36,Global_PC37,Global_PC38,Global_PC39,Global_PC40,Global_PC41,Global_PC42,Global_PC43,Global_PC44,Global_PC45,Global_PC46,Global_PC47,Global_PC48,Global_PC49,Global_PC50,Global_PC51,Global_PC52,Global_PC53,Global_PC54,Global_PC55,Global_PC56,Global_PC57,Global_PC58,Global_PC59,Global_PC60,Global_PC61,Global_PC62,Global_PC63
Basic Materials_PC1,0.7802149323036851,-0.04247201869827118,0.014761680154952488,-0.008082063752437672,0.011036007394485781,-0.10452964223659447,0.07935998193107384,0.21469427066163133,0.02417199055232063,-0.2640973477706542,-0.04931616561986241,-0.18874605834113992,0.11914711223472653,0.13804534581574313,0.04944127746073123,0.11357106345218292,-0.0006789069948690759,-0.10093732337745327,-0.09234352828546165,0.08814501497761525,0.06348515468388183,0.0035619873230744764,-0.03233302093482918,0.031876298686296406,-0.0345837334143239,0.0024176762546851437,-0.007128485254603128,-0.041158352595457984,0.09846808011089668,-0.011560983954098065,-0.014318364561329022,0.00011134762495562637,0.005433593773167316,0.09771054371382747,-0.0629931923396195,-0.06445616765156181,-0.05064556932909121,-0.11639208900606789,0.002690392323444941,-0.09385661686961083,-0.01035186838415588,0.029840083142872734,0.002266816392641195,0.012194611677452038,-0.023913013610552373,-0.009381872694787517,-0.08737478005247655,-0.008339544579536437,0.00411203607748617,-0.0896711438796985,0.028279807666747415,0.0167232973161296,0.0077206157229765225,-0.03328312966547421,-0.047046997306938745,0.031172527100444325,0.05045789088440069,0.0907962782855532,-0.03215657138544373,-0.007076854914013437,-0.05538165508578184,0.002363990745255855,0.0011976740788646712
Basic Materials_PC2,0.27147434420673233,-0.042827463886098815,-0.0652563683526946,-0.13355875308396917,0.10170033407504547,0.49162645620929035,-0.05472483729876476,-0.139834784417176,-0.13697519271261652,0.04305329108208043,0.0732903210263722,0.05130616233445943,-0.28285031962861873,-0.10442655031889238,0.17395515424931104,-0.24051906036596932,0.1781656781471718,-0.07960645543387461,0.11849273082246706,-0.20285760176792986,-0.16250680293118278,-0.07481727875329837,0.15253084476097176,0.20011981590275266,0.009936063457578064,0.008237977544775838,0.17043332253266916,0.1441068214873916,0.11881535570956415,-0.06110734041821135,0.06225989736313868,0.08688761983729068,0.14354892465758665,-0.02242430677157657,0.09428049763580837,0.10375308542521464,-0.08340163363447249,-0.05010821923049833,0.03279362966012261,0.04624896613116757,-0.0801148478920471,-0.10977756997877726,0.029284868560590628,-0.01726554469139119,-0.10148241975805514,0.015228496408914535,-0.04453446449873782,-0.056770869759180435,0.0087553170706955,0.024867377378996268,0.004163526031055036,-0.0500112139719506,0.03375255201386084,-0.042291384646097836,0.053081103193497896,0.017184327991894007,0.01573562328106093,-0.055420502353943704,0.03752814264599182,0.03498155449954109,-0.04166233672217684,0.044839597397038744,-0.01850853628041659
Basic Materials_PC3,0.014985764107130007,-0.5715197523600651,-0.22227596286403142,0.28435918224483175,0.02498755037133393,0.08961378213008088,-0.16240015664321442,0.06607389446442943,-0.09299342130850574,0.14028350124687577,0.04849055413277643,0.00360320932794367,0.13614903977695053,-0.26543962813053396,0.026113663310752152,0.16243827146042333,0.019097839203442185,-0.02590426041605148,0.11207784959713842,0.06461247509268739,0.04990151968888042,0.1824218151745828,-0.019635820477868722,0.013329676028921527,-0.11679754326630083,0.18302526665665217,-0.049049733433357647,-0.07723440038651912,-0.18903068900497527,-0.03875145675551098,-0.03467008375681958,0.07951599213824502,-0.0238978570759786,0.03599491764953467,0.07887584214866186,0.1598496625561839,-0.07982623589717616,-0.09658755972622857,0.07395968457702216,0.002285538302157674,0.014127380635219206,0.17949150444896286,-0.0021941237520943574,-0.05078670419735835,0.03531519661801177,-0.0003210381394680781,-0.12037100109526812,0.06920954975869806,0.001098802991300665,-0.06832783322501197,-0.054764649991240096,-0.030540829107804528,0.07739218592919257,0.08143345087404774,-0.002955775350100933,0.06647356285761376,0.057988562677634914,-0.020520312035607852,-0.011884461921593292,0.037548465141535106,-0.09127977091700903,0.04304340611255099,-0.03550452156890252
Basic Materials_PC4,-0.0731632403930495,-0.07002505792539401,0.20732594548076624,0.2907073078504192,0.13488160892963227,0.23859957689739933,0.1376136803429507,-0.1429303196174602,0.10217417665046709,-0.35988251703782215,0.29797185209267224,0.02871524744183857,0.24756392433409788,-0.06346390677888326,-0.0434888316795506,0.06633979934690165,-0.21246931781634,0.11034648680562771,0.06290861478271986,-0.03144180788887998,-0.22919151065588358,-0.11272185053427072,-0.12649604129650258,-0.12974249187550557,0.023907979388037914,-0.043135070548900076,0.09344012125181127,0.02835398993698099,0.07844452368054004,-0.015933437300485846,-0.08471294805514598,0.03911384566154587,0.14014632435930874,-0.06436085123134545,0.11470635727872591,-0.16451037807753888,0.06135079561246382,-0.06085340960105457,0.06879604309584232,-0.11316788592986875,-0.09807440889061704,-0.061527981736644755,0.017128915204573915,-0.04079315298646944,-0.1283769560972599,-0.10440809842705763,0.09343809400810915,-0.05727164453420145,-0.02534754196923783,-0.06389644680810294,0.008295139960489783,-0.10611370963865464,0.003709946130075862,0.10811772989191451,-0.1007438238645082,-0.03120432077203039,0.10469314074948942,0.02232586361931713,-0.046223938348692595,-0.09925910301382543,-0.03034913122583933,0.01170879786081497,0.09935228278069838
Basic Materials_PC5,0.01953502261654661,0.16770181791487737,0.2284501608357749,-0.3221063742722633,0.06482148326737208,0.11332825157865732,0.10874195817164312,0.006805734899068361,0.2467063796274654,0.18377649022002754,0.11511977389158373,-0.07476700660481496,0.07793149246112877,-0.12840355733415657,0.0683164076000805,0.2784342287811677,0.09066726401928538,-0.1639383739972845,-0.033506273600848645,-0.08914091459643117,-0.18733284224768046,0.36427411897263723,-0.07448182541074488,-0.2140773427690168,-0.004429918930543568,0.08761864481740214,-0.04372480278314841,0.00626368002267382,-0.0821927901280779,0.0599976030788087,0.16626286769893459,0.16679629006771063,0.10649905948129837,0.09397031516009388,0.13199252019168223,0.16332397777973942,-0.030171604579469075,-0.08938490590457952,-0.1680808366977837,-0.03810149545002866,0.04313699311255339,0.08997819072888254,-0.008270956732178855,-0.09962877607620176,0.057134968814266725,-0.0593481368369406,0.01838717619325161,0.07358943812512336,0.03402513185018966,-0.050908441823884355,0.029532558073369325,0.10904238001335201,-0.037673191966298446,0.07246806051062867,-0.013852329459134874,-0.09167048245231194,-0.014416067018807542,-0.002212342881213069,-0.10314768249782781,0.042435063098336855,0.008946273464240222,0.04967597168292171,0.05648634347944795
Basic Materials_PC6,0.14667206433846547,0.034100854691332214,-0.05297400338005395,0.08118016721185688,-0.15779275839492335,-0.21112428324523969,-0.36939330637483253,-0.2303599553342905,0.3704902218220804,0.016311331726995164,0.11529231162838686,0.050427235830275224,-0.006911790575707791,0.006516084652956281,0.32645934318206454,0.013516026434295442,-0.12842167715687047,0.058794648989891986,0.061084356179525866,-0.10333887172938201,-0.013931931047487441,0.13842593850730003,0.23579996483560328,-0.012370669219824517,-0.031757238382592125,0.09953722190655397,0.1408061540744829,0.06665106824111647,-0.14583280869766385,0.09664699259905704,0.12868315215136836,-0.06397367893983746,0.0016359036030073556,-0.1750333541233209,-0.1614169605619709,-0.13646415742967088,0.06567122835373648,0.06314537440742665,0.10628846034192804,-0.11351036644019731,-0.11674381818865867,-0.10344723145237149,0.0501505295721303,-0.036432025903923436,0.09836535123032455,-0.040105856901085785,0.11135066196579557,-0.016580889995092957,0.1077136886414644,8.496596020049036e-05,0.043293464994566454,-0.045346872774664065,0.02415020702937673,0.07599014616930214,0.006051573824082784,-0.00852190887854657,0.00037036221032189976,-0.08943800658982545,0.019801763537187003,0.08548952965582109,-0.05258083401445665,-0.0643447847250325,-0.037526787555101554
Basic Materials_PC7,0.042126210139509034,0.22820223411394416,0.42400746201747225,0.35632734238637154,-0.10210188960445821,0.04532627473004558,0.21074022234034534,0.2720451907425311,0.03666706775621094,0.17267295306392333,-0.12049833430370689,0.15620693527144555,-0.08126022814646244,-0.2189866236802187,0.10612472210879291,0.00035762562733528813,-0.05034323314234332,0.0926602327312831,0.08525120182509978,0.11880022544460146,0.1763122411525677,0.008047027209061471,0.23385145981816965,0.1039420551444622,-0.16433081797985089,0.17447268818459247,0.15064633518047987,-0.012126893571590098,0.03027219258466999,-0.04205194177921894,0.09340501903484777,-0.04014911642397862,0.03381706550563783,-0.005088756684158063,0.0578357366487896,0.0008328343200149186,-0.038359072190583515,0.03131432390940514,-0.015663411783697956,-0.022758666915272837,-0.025143575096769268,0.08369847828052415,-0.02582610885845099,0.052795575284455165,-0.0782705152907694,0.02286234199219002,-0.07118039378719235,0.05992564725867652,-0.063658113024118,0.0613815177367753,-0.06819633119457136,-0.09845868383933254,0.058197636859393234,-0.044478983054571035,-0.009349020338573962,-0.008321497786255187,-0.022510454499954455,0.05754618129322106,-0.0698807423459558,0.09475848048697987,0.10511750077090616,-0.015605133039994334,0.03947695154399965
Basic Materials_PC8,0.026573325934492686,0.044114764609323696,0.2650718149594929,-0.028422562538927006,0.20434168807122655,-0.2161634277515295,-0.228681448074673,-0.10452536135227618,-0.36584266952678635,0.012744302118560345,0.18032245276286252,0.07233246685160734,-0.21069846965967667,-0.03236158568561023,0.05085433265128864,0.3593127668109122,0.004552907464845509,-0.13136649566518316,-0.14441498185378282,0.0654784070101081,-0.050049691659910224,-0.06247737967462648,-0.002709827160388297,0.19403014772663252,-0.18801889572215844,-0.08690200427448551,0.03303210379745015,-0.09028063418402094,-0.03319524999015374,0.08036154159502296,-0.22462675595370118,0.18487896635518428,0.037652419869735144,-0.188737597125968,-0.0210430084807297,-0.05717959772476407,0.0053286836278544055,0.052363786245414295,0.01243898563599742,0.05022711939479136,-0.060196110686655785,0.019667556016180254,-0.1831504299407616,0.014881951948282129,-0.08717162362158325,-0.00010335510271449258,0.0651962182323699,-0.03319588707800531,0.05200298015569465,-0.05340687789149765,-0.013715288463576942,0.09047461835934585,0.07272174845694217,0.10736950600633033,0.046789013976054374,-0.031175092901194114,-0.049987105457711255,-0.020021575793708862,-0.05308700653516556,0.04049106035635296,0.04955338703877072,0.04093415230670481,0.03017267712578829
Basic Materials_PC9,0.03355588084672557,-0.2078217712926985,0.08698270684678215,0.08819676314164457,-0.38787421963962454,0.008793147323871752,0.2692852085392899,-0.2755647436283208,0.1065281760353727,0.19824841326506176,0.061680619853382954,0.057236035141422316,-0.07505650702809052,0.2271043137506333,-0.049841198159736616,0.17517352519792664,0.011949574782525356,-0.12187784986167562,-0.15767940134213215,-0.04404839596155422,-0.12897156873364218,-0.1850602276311191,-0.07583724620709076,0.12475814397135768,0.020077989094655555,-0.009224102165470337,0.2191506464840641,0.08286740862115738,-0.11758151323712446,-0.15865466421754093,-0.14457511656940897,0.0024120527393900783,-0.057366838248958586,0.14793142613552823,-0.05582622461769994,-0.033075336439001825,-0.12248336331046981,0.09111597730903218,-0.19404518339506174,0.004147458921300037,0.016658432876896487,-0.03258352994919664,0.01080259458294288,0.055772826996536254,0.15471728683434502,-0.059958726926182246,-0.1541403861291608,0.005020906405628168,-0.19367066177646117,-0.021811277089183213,0.09015481078219134,0.03353560255442053,0.014384557580769237,0.04186534416482105,0.01312643263404708,0.056787074545110505,0.03915759271062497,-0.11059751598646872,-0.05075266093385593,0.09775630480577899,0.01632313394540188,-0.017431133569935874,-0.039157834103440106
Basic Materials_PC10,0.00616034091515138,0.24752665842678098,-0.12119254738812922,0.15122584701656094,-0.11642079533792246,-0.049543078978237926,-0.16983030501156665,-0.06192116496571866,-0.07165716641649976,0.09463443594324207,-0.09586461344304925,-0.26267640604047066,0.1279681873042069,-0.10212957048335147,-0.2692599900872097,-0.007605614309873933,-0.05838553507301073,-0.19435481495688003,0.019125044851088617,0.056788128113032146,-0.23816584757938652,-0.24858101638317306,0.08668513846537511,0.041116761124936646,-0.12399359721759425,0.22813448495477698,-0.19089082949613814,0.19380208974684246,-0.059527555290142815,0.10488916943324544,0.1333501768445453,0.29620708274763935,0.11424975484370202,0.12701609684611426,0.034204926770558926,-0.0953528733996085,-0.14414410920409637,-0.06280382149032376,-0.02901350661446737,0.06817762374259054,-0.022725586318395205,-0.04966109683365945,0.07779525215807717,0.19978780872965654,0.0012667207236830812,-0.12063758529841812,0.0638843362566742,-0.02336591059752333,0.08700097827715839,-0.03452779503494003,-0.029607797821623066,-0.15557307469818968,-0.005855228682269905,-0.052254410937083835,-0.03665923854726076,0.03372645744430645,0.05115162469503437,-0.037356952828056976,-0.07088241340899851,-0.009221563264380542,0.024359296070692395,-0.08280231133113435,0.0004890426169661718
