,Energy_PC1,Energy_PC2,Energy_PC3,Energy_PC4,Energy_PC5,Energy_PC6,Energy_PC7,Energy_PC8
RELIANCE.NS,0.77127954672076,0.09729931914543961,-0.20278540800851033,0.3548476203547666,0.07573905557392248,0.018695655813628163,0.44526575413602243,-0.14494100148971759
ONGC.NS,0.8091847753554494,0.25662043761468806,-0.16066105457466956,-0.19192938571274612,-0.13417293991117324,-0.19604927169807537,0.1140129213232066,0.3717411684551289
BPCL.NS,0.8037725808666165,-0.47954710009371526,0.08655155103531381,-0.05408632450953149,-0.10462310338218767,-0.010528395365978181,-0.022909696543788584,-0.14645287895634876
IOC.NS,0.8815406212466351,-0.3433939504142265,0.004182484743624864,0.03228952295939283,0.02420021974924358,-0.1000113963042859,0.013067457302296016,0.06387432510303119
PETRONET.NS,0.4739209097339492,0.3601804399849111,0.6992981439585627,-0.34999142361527447,0.0751274550105795,0.032641140729666576,0.15105195804335111,-0.0706031434465592
OIL.NS,0.6451198822487937,0.5150405159939425,-0.27296987762480274,-0.1441626461081024,-0.15861349059213797,-0.3051517382990055,-0.20492559104265715,-0.25041811557831256
HINDPETRO.NS,0.783009815189995,-0.5092116579705745,0.13771110747910806,-0.061046811547532324,-0.12698474750551336,-0.09298506043543589,-0.10876155711590334,0.002893993580315606
MRPL.NS,0.7019770984177509,0.07314173315577262,-0.0717056842758589,0.03674522634129174,0.6762820135147792,0.01892599706336541,-0.18558498247863983,0.0359389692283086
CASTROLIND.NS,0.5569864165863868,0.3097316957552942,0.3128191013285839,0.6304778580938549,-0.19235331409800918,0.11834873421161046,-0.20429926539472681,0.07840935749934085
COALINDIA.NS,0.6822306396911061,0.11339543357682128,-0.25488328268836985,-0.25455176123937406,-0.12976745426652941,0.6095316219565482,-0.05708130595831566,-0.005522417269216225
