,Financial Services_PC1,Financial Services_PC2,Financial Services_PC3,Financial Services_PC4,Financial Services_PC5,Financial Services_PC6,Financial Services_PC7,Financial Services_PC8,Financial Services_PC9,Financial Services_PC10,Financial Services_PC11,Financial Services_PC12,Financial Services_PC13,Financial Services_PC14,Financial Services_PC15,Financial Services_PC16,Financial Services_PC17
HDFCBANK.NS,0.6149259595787865,0.13218590425722856,-0.12671059934070347,0.33408896689380985,-0.3338585112291203,-0.25613294225647953,0.26278234085510327,-0.09877898124776824,-0.18314422589152682,0.15845099438690072,-0.2120245040804819,-0.16352008662258646,0.010474767998146388,0.1346058364232073,-0.09205348564336127,0.09950025107428342,-0.08095480098904959
ICICIBANK.NS,0.718702389188156,-0.08758681891681282,-0.08382781652631198,0.35832294726325503,-0.24024493612798403,-0.07710601795521628,-0.17915487878909778,-0.05961604753647493,0.17233757508540926,-0.09394266425374498,0.141664774672972,-0.2107877499558559,-0.1312356934091253,-0.036077788539616254,0.14598798164462676,-0.2215949897174313,-0.010470674264634178
SBIN.NS,0.6684571247366905,-0.4665712888088539,-0.18420360132750652,0.28113524446240723,-0.16253192374256367,0.14934353047568605,-0.13928381851796795,-0.010488637962843573,-0.11961635024924756,0.08077263419505885,0.15477848954806972,0.08667646681599181,-0.05231395830737577,0.03515860240866999,0.08188097763603384,-0.009252530926367483,0.04324955415456092
KOTAKBANK.NS,0.5700633323239896,0.3913029617125488,-0.16574733483923768,0.20235550462890523,-0.10202159698575636,0.24878018785909028,0.4216685555666745,-0.1609596671991669,0.018972510059164963,-0.1451326375746259,0.09542816824139978,-0.06291396797083879,0.21224720198055935,0.0867321135586222,0.2165899446825743,-0.08989400328893066,0.025453663416501376
AXISBANK.NS,0.7143512980352618,-0.10272626653765989,-0.2658855157661355,0.17403377083246055,0.015302407731599592,-0.25519094852640395,-0.19340810725508792,-0.31159828770873094,0.09400248118985692,0.05725963319966136,-0.09443685671352885,-0.04916723394979454,-0.25728845930369065,-0.04746747873889765,-0.12236852653447548,0.05407858880596247,-0.016114625767434897
INDUSINDBK.NS,0.5913429416808571,0.3939101581344602,-0.19993732172913975,-0.33354048777717993,0.06788917730927192,0.16995581623058503,-0.08147509730780718,-0.11947788256080144,0.09319179321459416,0.18083628929863496,-0.24089913670388702,0.1402957242396346,-0.09021248854222172,0.34717296408769593,0.07469537442528223,-0.058052866770253106,0.08688978168802626
BAJFINANCE.NS,0.5819291932672204,0.6152125683402718,-0.19182419376397197,-0.16686658763701867,-0.1535046643719934,-0.05063589216770585,-0.23067037288377204,0.032257357234975984,-0.12395603903054246,-0.03584968899150035,0.05004855405994188,-0.014182724083543059,0.1320632550448098,-0.05057793703103049,-0.05963843422329085,0.15011557013094984,-0.13148721882989328
BAJAJFINSV.NS,0.6180049760881156,0.5170933105759413,0.06103868163734753,-0.18532061171780848,-0.27204856835296964,0.06936989648923815,-0.29845552007050835,-0.10530983960099259,-0.10490362865600178,-0.1700377301198236,0.05557775357318739,-0.008246303607730541,0.14286440607637318,-0.014692027871191162,-0.11930619833788839,0.02356736382667176,0.020938949163687978
HDFCLIFE.NS,0.49807845423909985,0.22821947485279864,0.5786776499528141,0.2933977695287784,0.20808198324225594,0.17698627887679966,0.182525495272234,-0.12526306834170553,-0.06856534708169824,0.19734958985113993,-0.0010698897420326624,-0.0480560411789902,0.07185123282015228,-0.14341027697820857,-0.10019462083422367,0.006479361859635174,-0.12879021217042522
SBILIFE.NS,0.5764450604425075,0.20465223337110183,0.577321107982606,0.10521608598602161,0.03373713890608372,0.24302439167654089,-0.24531110684522903,-0.11091749696973265,0.10467693943642058,-0.19608351577664354,-0.05489778501105867,-0.03881963781273668,0.00683818523701369,0.07670748694447399,-0.04480880587407767,-0.012275133461046797,0.11236764351935376
