,Healthcare_PC1,Healthcare_PC2,Healthcare_PC3,Healthcare_PC4,Healthcare_PC5,Healthcare_PC6,Healthcare_PC7,Healthcare_PC8,Healthcare_PC9,Healthcare_PC10,Healthcare_PC11
SUNPHARMA.NS,0.632472791390057,-0.5227583101714918,0.0039916253108246876,-0.16504402674039803,0.08317911733043404,0.1364299771683283,-0.3115546170985701,0.1012962006838117,0.05033036684903956,0.32554131110637,0.005962398801193358
DRREDDY.NS,0.6320832788022227,-0.20796521556623407,-0.44896904891869555,0.14533167522186238,0.022385913928676806,0.27859203886784367,0.22079379400176238,-0.2789800065123964,0.23989020016258325,-0.12062459882611141,-0.21521485305407717
CIPLA.NS,0.6117790106671167,-0.14632335460735707,-0.13872139497653524,-0.21483200635570152,0.48946589334101537,-0.348961143873817,-0.1496027825172092,-0.3231853326298265,-0.13147211109101278,-0.151787217215688,0.09852068030103026
DIVISLAB.NS,0.5444592837073675,0.29723475002614513,0.3055658498488954,-0.297179038432152,-0.430631276257336,-0.23358302956193863,-0.3008536182383788,-0.08532716002747662,0.2366295154767599,-0.09313092040242898,-0.12468822366936523
TORNTPHARM.NS,0.7008150038913694,-0.18827083839628034,-0.024738591255966814,0.3001214559433247,0.15602766430894172,-0.3201985681370138,0.11531449988084254,0.29579167992989497,0.36568184670330467,0.004592606788198173,0.07089391357567638
LUPIN.NS,0.7555006096309378,-0.10851368454804672,-0.2672616182140876,-0.0063591254798427465,0.022323646824783643,0.07239941715919021,-0.12119117425865678,0.3679580438912539,-0.30102055180184767,-0.21010760628258388,-0.13763108822495887
AUROPHARMA.NS,0.6778919196456625,0.274515777639162,-0.3774396031415593,-0.05577581314067085,-0.3000953878631378,-0.0945223753499771,0.23796008591978263,-0.013678278201507736,-0.07642588214188194,0.09403931515832027,0.3477118916936906
GLENMARK.NS,0.6745847059307388,0.389274006042908,-0.3632653134272769,0.14294909328289868,-0.23156727432703,-0.0706303615513076,-0.06147611071233817,-0.06691899180805642,-0.15977409174388324,0.17420201773157235,-0.1730530265441025
BIOCON.NS,0.42880964722826687,0.6266524541584652,0.02607014166246144,0.034008662646663614,0.2761121566277552,0.461065791485511,-0.2576584197348719,0.024433875593404063,0.14780031445218367,-0.06686535609179517,0.18511153699445224
LAURUSLABS.NS,0.48782205310381715,0.34047054908529045,0.3160343002066831,-0.47673497713398694,0.3098535920043554,0.02473122435033845,0.3860180532620809,0.0767850092387826,-0.013748424755719451,0.19822726210287883,-0.15774797252959136
IPCALAB.NS,0.5033337936995291,-0.5874921660147272,0.22441448698696606,-0.29221960970402483,-0.30396311907271095,0.25549127529710125,0.10980086491629291,-0.07489736930061819,-0.030163384363393785,-0.06550836025204705,0.14130125520459483
FORTIS.NS,0.6197497308123339,0.06994035760589243,0.6008170253222692,0.184949413238151,-0.050127876517621295,0.0264707450118876,0.14776625649166084,0.03960522009464485,-0.10167731839478544,-0.2616610899947647,0.008121520443792647
APOLLOHOSP.NS,0.5419471601457717,-0.050636987124526536,0.49685778781571277,0.5388890429044721,0.029889528410161095,0.009096240305443997,-0.03864702775693125,-0.20151047025384694,-0.1468880704233627,0.21271481043722512,-0.006232254078066153
