,Technology_PC1,Technology_PC2,Technology_PC3,Technology_PC4,Technology_PC5,Technology_PC6,Technology_PC7,Technology_PC8
TCS.NS,0.7554249146479157,-0.18072591061061533,0.5034316956606232,-0.2982992242994865,0.12853863709167498,-0.02797455501704498,0.03461682767486345,0.07050805326965796
INFY.NS,0.8616894070486839,-0.18148556276878275,0.15982161378858462,0.213406013694329,0.005476362257953821,0.16101876599409753,0.21159111068327238,-0.1477647487571982
HCLTECH.NS,0.7959015792992975,-0.445988198436135,0.05577033757508878,-0.0753078794199967,-0.1343145410800735,-0.28114886701769504,-0.09141139163746119,0.03744070579278963
WIPRO.NS,0.8496498970853439,0.06079629088746266,-0.07726834788243635,-0.11819293733655871,-0.2905532675956064,0.30178771783337177,-0.17555821379975023,0.20873957155880693
TECHM.NS,0.8179496354248086,0.2217686829746761,0.23480774398626283,0.3181973034024841,-0.18334486530507338,0.00805375991917917,-0.11969271421185156,-0.20502744062101516
LTIM.NS,0.8115016009136498,0.19532962867263284,-0.034607833049069905,0.3921407128791731,0.18408239916484545,-0.18200234213764852,-0.018134698890030356,0.27824475089923434
MPHASIS.NS,0.8427439985910369,0.2281291756563035,-0.03812664979375293,-0.14532391261787242,0.34227886701691085,0.20740852803441678,-0.04544198519188684,-0.031289716344598435
PERSISTENT.NS,0.835183992956604,-0.18219073894184482,-0.3385725269573963,-0.018785593710928816,-0.08312013586952961,0.034912214585801404,0.3287930673017014,0.04536318518123978
COFORGE.NS,0.8129797164815765,-0.23265363492487423,-0.37547153507795794,-0.055594601748901136,0.14264656225253275,-0.06569086854738126,-0.2228357681364165,-0.18492970115858753
ZENSARTECH.NS,0.6750909930347692,0.6004542461357466,-0.060114248229825765,-0.28636343660861396,-0.12215896160859054,-0.23656072477956885,0.10504423763710777,-0.07755713559909111
