,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57
RELIANCE.NS,0.6453766838107479,-0.18496672158159652,0.23789159684462693,0.24252259846873878,0.052963825863462495,0.20169594769133664,-0.0995507822533542,0.09230383740212504,0.062225454694113135,2.1824713282214112e-05,-0.08928450090083498,0.029327148312655614,0.02337471697726003,-0.08701593549568576,0.016714687917029722,0.39496620360165463,0.04754185410930255,-0.0608922687518196,-0.15129812289595987,0.06608884430563373,0.002415929563763747,0.06357517628476907,-0.022697773599240748,-0.004523602562786045,-0.04125829482927609,-0.06139973479044111,-0.11022200747447519,-0.01720258346355828,0.0734937196564608,-0.04932977344081139,-0.024353678947291717,0.09616423098572587,0.06655668593927877,0.11582418556020808,0.003014193928457325,-8.820300853640561e-05,-0.00982211879596819,-0.06717121947292486,0.01789742272729143,0.06977160021007435,-0.01670807834162913,0.04608450231962695,-0.0773279462985876,-0.06904886097122462,0.025134450771077472,0.0698353083784914,0.026020009433939777,0.04468410889426408,0.041811222974615925,0.0570427799920857,0.01971931497192946,-0.008320755744143407,0.07472990318656805,-0.01670967573303251,-0.06724562321412848,-0.0006787202187903175,-0.00024406601027951487
ONGC.NS,0.43924385591897547,-0.40895625767845495,0.5077883661473707,0.08445290845789244,-0.10229346079709228,0.1675147915272337,-0.04610097864243412,0.11232127371018076,0.22841956757124832,-0.004434377320777306,-0.14812479921448082,-0.05842093426851922,-0.039078072448947745,-0.08950451243151215,0.16519438409196766,0.023414812995123647,-0.028312823649991364,0.15224631871259062,-0.0960466549705636,-0.02335240102064819,-0.13565049646801278,0.006115590555889952,-0.05764727802810168,-0.015108511320593024,0.007934056548697117,-0.058721123544425054,-0.04075024189007,0.06929124165825636,0.00042225627632376495,0.006076387709119024,0.03789552735262754,-0.10164392883526115,0.04086544889770456,-0.03741479616046997,0.004330549244988502,-0.007875914164100401,-0.013593637852271375,0.05671926230244303,-0.05097796653328027,0.039961280295973296,0.02456603224069225,-0.05786364516166494,-0.06562738723425711,0.09502174847835308,-0.0055651805303544594,0.07273277971973037,0.012991387758094384,0.004617840941006616,-0.0222749854386286,0.029891705072508202,0.0168004558356047,-0.10139102601403169,0.14979911490032427,0.032517151609291695,-0.06467043744063528,0.02478284248279687,-0.05039609982667771
BPCL.NS,0.6724818687449052,-0.2669302318336919,0.2830759505876726,0.12060247613975064,0.30438754935009493,-0.10963861555812422,0.04156914204548548,-0.07140012860913965,0.017173365385124883,0.19842714567067885,0.03252923922716868,0.010934967517144064,-0.21796646551777024,0.13466549138198997,0.09285411990997361,0.004796503337411561,-0.019076272415737224,0.17462967638394195,0.10026698583908576,0.08066954712216155,0.06098004570931994,0.03293759573032833,0.04053738682378346,0.0041968132195713366,-0.037386042794857945,0.02200863068302835,-0.01658554863821067,0.006297760023834007,0.007078746583989616,-0.02275585062871007,-0.011114501865811295,-0.017107110908685375,0.06984121026024556,0.04660346184232966,-0.016225587506452047,-0.07321876707865763,0.026170839504582,-0.03589781873263514,-0.027811086152435556,0.060720817738658256,0.0009674614170958508,-0.03642529968401273,0.07403088022461458,0.014565515871885166,-0.026267515303462427,0.06229630347778166,0.03790450050037326,-0.01279184635937292,-0.03222485752158961,-0.07422893591556452,0.024872482298921007,-0.04586516478924004,-0.03724768727664037,-0.007170465697549182,0.05116225676239805,-0.1203774239821441,0.005813860403971568
IOC.NS,0.6454778930522092,-0.3519971735425916,0.31961500499312706,0.16681683098537273,0.0902313371064222,0.0861671615265933,-0.061982967620283214,-0.0006208154150753782,0.00942129223923307,0.20441662938124933,-0.06243137543755096,-0.02637595046825995,-0.25864778896499846,0.11741570827888173,0.1455600073899627,0.057686713664029804,0.14787502468624822,0.08378139279558043,0.07915896953840151,0.043482947454868956,0.12045133294551698,0.03438280847706084,-0.053081149951736024,-0.01846867435668882,-0.04520057149744166,-0.0004738483498870483,-0.11587498743284189,-0.038618207712318685,-0.039772431195024355,-0.05363948003106274,0.02790532533769121,-0.02056778306311632,0.0007119620654708993,0.023302772885465915,-0.03500207291158001,0.04536718113138906,0.0447864739498109,-0.02870746244437071,-0.003027836564080755,0.0786246446694056,0.014325338752360636,-0.09908318461044639,0.05435675405845083,0.031721717349567274,0.06309292437364093,0.002953601324281436,-0.00728360574632957,-0.06966432591014267,-0.022366651496408145,-0.051433563241629,-0.013752141798971725,0.01567939060853616,0.014150959188804144,-0.02127669637969314,-0.010952858017943415,0.03295408211511984,0.004265185379927221
GAIL.NS,0.637089267746886,-0.4209129075951191,0.13950655557784417,-0.04342869468030596,0.09645835401101271,-0.00886110510007545,0.037959910242373565,0.12461383942294701,0.21936023102137128,0.010720995735362148,-0.1636207024964675,0.06642638751016472,0.033502649835356946,-0.010951898876406215,-0.07608302860149761,-0.10218237531244165,0.08685791913078922,-0.06318283041585349,-0.06444486046185276,0.03213592357241487,-0.067000314952005,-0.019744518980660822,0.1860867452085973,0.004175577262400385,0.027353430730672503,-0.03529739739820888,0.07651045474031584,0.2108610198990863,-0.11457020828842202,-0.05554196850652814,0.06533129535521415,-0.018140896565005615,0.013159534277388724,0.06400654125744089,-0.016236396936535256,0.10573535485671798,0.037593827585782384,0.15027094752995776,0.02890156213368861,0.058006835068462416,-0.10613282752431315,-0.010128316121000189,0.01150663505195667,0.09138435235409369,-0.016616258134334972,0.03923613976746307,0.07324187262985188,-0.07232919377278003,-0.04973234977934512,0.026260471496963235,0.02093044959369373,0.07436667343592143,0.07302055643625263,0.0006023690280379906,-0.004759813292589919,0.08036208287501484,0.0026512565367246203
PETRONET.NS,0.32129280019327827,-0.3029670924330709,0.2335879361606545,0.0960297969524065,0.027195863478064675,-0.25403120618793457,-0.20072213960650284,-0.011467218780207462,0.3406356333822182,-0.014757342127075355,-0.17953128523786827,-0.07102770205114058,0.2899939443642915,-0.042237822693526134,0.02882772238989917,-0.2534640970988044,0.026411586044037223,-0.22960046754405508,0.0713455422866276,-0.105811221798542,0.08170002098853416,0.04383212452492552,0.15791292950945204,-0.016871587357827844,0.12242414301711606,0.051039744786112846,0.08510129378839848,0.12950114670423432,-0.043824981007072196,-0.05453709078296074,-0.021021165508302905,-0.17194801026158713,-0.1664045221603997,-0.05657239684477231,0.10812607410445883,0.029916192959193694,0.002610103770255356,0.04157818456188393,0.08365256327172703,-0.014688527064358747,-0.09096251480758177,0.022598765448028774,-0.009714805053747057,-0.1347754747094814,0.06999434509793125,-0.04178658553206166,0.03654637856055232,-0.0018529846759506104,-0.04308962288212101,-0.01341217929455402,-0.015178781690590804,-0.09986246799862356,0.04953128290392082,-0.04709864428921241,-0.026264748744772987,0.018524489158091545,0.018267616608487698
OIL.NS,0.28234928695833855,-0.27738726412405335,0.4408910492668527,0.1835034083497267,-0.1438014899106607,0.08420335988481689,-0.08730425055830805,0.16116105797489774,0.2718833352097707,0.021381901348742363,-0.1826342241929235,0.06804651215552984,0.16176598850994445,-0.1402768246918162,-0.06435046119188163,0.09936719974701493,0.03537342584926779,0.24799802051352102,-0.007652315952285561,0.055381448750936695,-0.24814411749295384,-0.0693332385709633,-0.0021986495604010624,0.15340609181370737,-0.06229849668754009,0.09518530667127989,-0.1649816263444855,0.11976949230497796,0.025186856827709932,0.050021165520234306,0.001958363339938476,-0.06966329111332521,0.07527213588036828,0.07372191417658475,-0.09981462274485726,0.03762111674892193,0.0032853191731094604,0.2223637677102963,0.017600100071406163,-0.14385359447391405,0.07626452539623307,0.03219519538324882,-0.019290353121057292,0.05882529674163978,0.008868398489840286,0.02193527313556524,-0.005797530221988711,-0.025869757824555025,0.0704957776603283,0.034625261305118726,-0.032428978194835666,0.04154672077768845,-0.06396984543237365,-0.049890030497666576,-0.009988186601346186,-0.015687731111184725,0.02196738424166639
HINDPETRO.NS,0.6630685677905649,-0.21787566765067648,0.2347352867683281,0.08993319439891959,0.07078453977815145,-0.06233613444346392,0.018935600605835767,-0.0225090954071083,-0.015761333068052098,0.3471693277785402,-0.038658125949977,-0.11516152768830441,-0.27925589327992534,0.1510402086252395,0.11666231009061453,-0.07835371611261686,0.06031713453478908,0.12243011653339006,0.10517486687099936,-0.0027134877671108532,0.07723354968857665,0.014449238011170885,-0.08773679264757382,0.06007623357977479,0.0686943243561217,0.0594611411550576,-0.027755646023440956,-0.05299399778327915,0.02862028163234634,-0.05358021054455311,-0.08152834852407997,-0.0916109365886473,0.034178235292661986,0.057626904691536196,0.009182387140396597,-0.13259467363509828,0.08274521640047744,0.0043556740008900245,-0.06033592244040621,0.10741768341129837,0.010233335920571995,0.012725777101840929,0.051506157678777656,0.054624093929871505,0.05579821242554868,0.041116154250287744,0.0429250062776264,-0.05059667431230537,-0.014732829017162219,-0.027439212291714896,0.029155595643552815,-0.04406152993975727,-0.02736065944901285,-0.04384851377617653,-0.009628938081976636,-0.0751094375227394,0.04521226719209872
GSPL.NS,0.5053708449297621,0.08851731575439482,0.3601893981326039,0.1493540524478778,0.23868514110088843,0.02069747618641864,-0.10248212729904788,-0.17082978524616568,-0.11506155826087326,-0.0874516494569659,-0.2815047740018182,0.011997930116570724,0.11831939206320054,0.06501839843578797,0.2136994077292553,-0.2198511564517656,0.10524349458055358,-0.018887158654890174,0.05278524441073722,-0.045519171932421866,0.017868915288877515,0.03723562235690709,-0.08675578243248502,0.17581255024296813,0.0048344786117611145,0.16040652005587433,0.09907885709219177,-0.06174367001525397,0.048643646225188214,0.14915492699867278,0.00769433724127507,0.0817880135417179,-0.057018193360151334,-0.023244584613351566,0.09524005680424556,0.028204665876242704,0.08650597572179843,-0.03981414251229311,-0.012235531237185654,-0.06520354725363033,-0.10952427168536445,0.03971761134241179,-0.029901889795634663,0.1308966868963636,-0.009071112398489845,0.03549424344925236,0.08538215417591356,0.049694339895106014,-0.02074694854510285,0.10532273657871205,-0.09803328948154084,0.04496179162790739,-0.07476967411387071,-0.0313835171913052,-0.005692616934482546,-0.021380103499908664,0.02710786781242573
MRPL.NS,0.3739366366402797,-0.5436163677974716,0.22319810525751016,0.2867043997439985,-0.1939032010205072,0.025247387785447484,0.043620027087235204,-0.05563713386202124,-0.06286069841708598,0.0009972742010078799,-0.06315654455900856,0.029333075354710948,0.1399341238863293,0.18591836694754144,-3.0031825014848607e-05,0.18622675554647072,0.2055962738870673,0.02997752420417342,0.1390295652625857,0.09854610637451773,0.11078932555562573,0.021246453291368567,-0.0031094100796723537,-0.0438832787074216,0.055670711352339204,-0.10764981978071263,-0.015152009836616626,-0.024090039992054228,-0.07478823876699285,0.10225950241980857,0.06510146591662613,-0.027252637379887274,0.00617764887336046,0.12012404195933662,0.019543319051355,-0.03780101420346017,-0.05336935040814551,0.036510366098665384,0.1493632855810141,0.16186231101374987,0.05569133304671564,0.07008402834167665,-0.11484015279820481,-0.040532707877838775,0.016056383595505423,0.13696574599969932,-0.06601479551646768,-0.038710826222748976,0.0706011558143321,-0.01417549828754049,-0.0028064569039949324,0.030997477532292098,-0.013916885716194658,-0.0067357415512404656,-0.003795211054916605,-0.01721127201310242,-0.004221145525363916
